Rank,Model,Agentic Overall Acc,Web Search Summary,Web Search Base,Web Search No Snippet,Memory Summary,Memory KV,Memory Vector,Memory Recursive Summarization
24,xLAM-2-8b-fc-r LoRA ckpt3260-1batch-2560seq-3epoch-multi2000-nomlp,6.24%,0.00%,0.00%,0.00%,12.47%,2.58%,11.61%,23.23%
25,xLAM-2-8b-fc-r LoRA ckpt6240-1batch-2560seq-3epoch-multi3000-nomlp,6.24%,0.00%,0.00%,0.00%,12.47%,2.58%,7.74%,27.10%
26,xLAM-2-8b-fc-r LoRA ckpt652-1batch-2560seq-3epoch-multi2000-nomlp,6.24%,0.00%,0.00%,0.00%,12.47%,2.58%,5.81%,29.03%
27,Llama-3.1-8B-Instruct (Prompt),6.02%,0.00%,0.00%,0.00%,12.04%,9.68%,7.10%,19.35%
28,xLAM-2-8b-fc-r LoRA ckpt3465-1batch-2560seq-3epoch-multi3000-nomlp,5.91%,0.00%,0.00%,0.00%,11.83%,3.23%,9.68%,22.58%
29,BitAgent-8B,5.48%,0.00%,0.00%,0.00%,10.97%,1.94%,18.71%,12.26%
30,xLAM-2-8b-fc-r LoRA ckpt2364-2batch-1024seq-3epoch-apigen,5.48%,0.00%,0.00%,0.00%,10.97%,0.65%,14.84%,17.42%
31,xLAM-2-8b-fc-r LoRA ckpt8613-1batch-2560seq-3epoch-FC,5.48%,0.00%,0.00%,0.00%,10.97%,1.94%,9.68%,21.29%
32,watt-tool-8B (FC),5.38%,0.00%,0.00%,0.00%,10.75%,0.65%,14.19%,17.42%
33,xLAM-2-8b-fc-r LoRA ckpt1315-2batch-1024seq-3epoch-apigen-nomlp,5.27%,0.00%,0.00%,0.00%,10.54%,3.23%,12.26%,16.13%
34,xLAM-2-8b-fc-r LoRA ckpt2364-2batch-1024seq-3epoch-apigen-nomlp,4.73%,0.00%,0.00%,0.00%,9.46%,4.52%,10.97%,12.90%
35,xLAM-2-8b-fc-r LoRA ckpt1136-1batch-2560seq-3epoch-apigen-nomlp,4.62%,0.00%,0.00%,0.00%,9.25%,2.58%,11.61%,13.55%
36,Gemma-3-4b-it (Prompt),4.48%,1.00%,1.00%,1.00%,7.96%,7.74%,8.39%,7.74%
37,xLAM-2-8b-fc-r LoRA ckpt1704-1batch-2560seq-3epoch-apigen-nomlp,4.41%,0.00%,0.00%,0.00%,8.82%,5.16%,5.81%,15.48%
38,Ministral-8B-Instruct-2410 (FC),4.19%,0.00%,0.00%,0.00%,8.39%,10.97%,6.45%,7.74%
39,xLAM-2-8b-fc-r LoRA ckpt2272-1batch-2560seq-3epoch-apigen-nomlp,3.76%,0.00%,0.00%,0.00%,7.53%,0.65%,10.32%,11.61%
40,xLAM-2-8b-fc-r LoRA ckpt3408-1batch-2560seq-3epoch-apigen-nomlp,3.23%,0.00%,0.00%,0.00%,6.45%,1.94%,4.52%,12.90%
41,xLAM-2-8b-fc-r LoRA ckpt3976-1batch-2560seq-3epoch-apigen-nomlp,2.69%,0.00%,0.00%,0.00%,5.38%,1.29%,1.29%,13.55%
42,xLAM-2-8b-fc-r LoRA ckpt4920-1batch-2560seq-3epoch-ALL,2.69%,0.00%,0.00%,0.00%,5.38%,1.29%,3.87%,10.97%
43,xLAM-2-8b-fc-r LoRA ckpt2840-1batch-2560seq-3epoch-apigen-nomlp,2.47%,0.00%,0.00%,0.00%,4.95%,0.65%,5.16%,9.03%
44,xLAM-2-8b-fc-r LoRA ckpt5115-1batch-2560seq-3epoch-apigen-nomlp,2.37%,0.00%,0.00%,0.00%,4.73%,1.29%,5.16%,7.74%
45,xLAM-2-8b-fc-r LoRA ckpt5112-1batch-2560seq-3epoch-apigen-nomlp,1.94%,0.00%,0.00%,0.00%,3.87%,1.29%,3.87%,6.45%
46,Gemma-3-1b-it (Prompt),1.83%,0.00%,0.00%,0.00%,3.66%,4.52%,3.87%,2.58%
47,xLAM-2-8b-fc-r LoRA ckpt4544-1batch-2560seq-3epoch-apigen-nomlp,1.40%,0.00%,0.00%,0.00%,2.80%,0.00%,0.65%,7.74%
48,xLAM-2-8b-fc-r LoRA ckpt8853-1batch-2560seq-3epoch-ALL,1.29%,0.00%,0.00%,0.00%,2.58%,1.29%,0.65%,5.81%
49,CoALM-8B,0.75%,0.00%,0.00%,0.00%,1.51%,2.58%,1.94%,0.00%
