Rank,Model,Live Overall Acc,AST Summary,Python Simple AST,Python Multiple AST,Python Parallel AST,Python Parallel Multiple AST,Irrelevance Detection,Relevance Detection
37,Llama-3.1-8B-Instruct (Prompt),70.54%,70.54%,72.48%,70.85%,56.25%,45.83%,36.99%,93.75%
38,xLAM-2-8b-fc-r LoRA ckpt263-2batch-1024seq-3epoch-apigen,70.17%,70.17%,75.19%,69.14%,62.50%,66.67%,48.98%,93.75%
39,xLAM-2-8b-fc-r LoRA ckpt8613-1batch-2560seq-3epoch-FC,70.17%,70.17%,75.19%,69.42%,62.50%,54.17%,71.83%,87.50%
40,xLAM-2-8b-fc-r LoRA ckpt568-1batch-2560seq-3epoch-apigen,70.10%,70.10%,76.36%,68.85%,62.50%,62.50%,46.83%,100.00%
41,xLAM-2-8b-fc-r LoRA ckpt6615-1batch-2560seq-3epoch-multi4000-nomlp,69.95%,69.95%,73.26%,69.23%,62.50%,70.83%,68.55%,87.50%
42,xLAM-2-8b-fc-r LoRA ckpt3675-1batch-2560seq-3epoch-multi4000-nomlp,69.87%,69.87%,74.42%,69.23%,62.50%,54.17%,63.46%,93.75%
43,xLAM-2-8b-fc-r LoRA ckpt4920-1batch-2560seq-3epoch-ALL,69.73%,69.73%,75.19%,68.47%,62.50%,70.83%,70.25%,93.75%
44,xLAM-2-8b-fc-r LoRA ckpt8853-1batch-2560seq-3epoch-ALL,69.73%,69.73%,74.03%,68.66%,68.75%,70.83%,74.32%,87.50%
45,xLAM-2-8b-fc-r LoRA ckpt4785-1batch-2560seq-3epoch-FC,69.28%,69.28%,76.36%,67.90%,62.50%,58.33%,60.97%,100.00%
46,xLAM-2-8b-fc-r LoRA ckpt263-2batch-1024seq-3epoch-apigen-nomlp,69.21%,69.21%,75.58%,67.81%,62.50%,66.67%,49.43%,93.75%
47,xLAM-2-8b-fc-r LoRA ckpt7638-1batch-2560seq-3epoch-multi-all-nomlp,68.91%,68.91%,72.48%,68.57%,56.25%,54.17%,57.47%,93.75%
48,xLAM-2-8b-fc-r LoRA ckpt693-1batch-2560seq-3epoch-multi3000-nomlp,68.84%,68.84%,74.42%,68.00%,62.50%,50.00%,66.97%,87.50%
49,xLAM-2-8b-fc-r LoRA ckpt4245-1batch-2560seq-3epoch-multi-all-nomlp,68.62%,68.62%,71.32%,68.38%,62.50%,54.17%,59.16%,93.75%
50,xLAM-2-8b-fc-r LoRA ckpt652-1batch-2560seq-3epoch-multi2000-nomlp,68.32%,68.32%,74.81%,67.14%,62.50%,54.17%,57.92%,87.50%
51,xLAM-2-8b-fc-r LoRA ckpt2990-1batch-768seq,67.95%,67.95%,71.71%,67.33%,56.25%,62.50%,47.96%,93.75%
52,xLAM-2-8b-fc-r LoRA ckpt984-1batch-2560seq-3epoch-ALL,67.80%,67.80%,74.81%,66.29%,62.50%,62.50%,54.30%,93.75%
53,xLAM-2-8b-fc-r (FC),67.73%,67.73%,74.81%,66.57%,50.00%,54.17%,64.14%,87.50%
54,xLAM-2-8b-fc-r LoRA ckpt598-1batch-768seq,67.58%,67.58%,71.71%,66.86%,56.25%,62.50%,47.74%,93.75%
55,xLAM-2-8b-fc-r LoRA ckpt5385-1batch-768seq,67.14%,67.14%,70.93%,66.57%,56.25%,58.33%,47.74%,93.75%
56,xLAM-2-8b-fc-r LoRA ckpt735-1batch-2560seq-3epoch-multi4000-nomlp,66.99%,66.99%,74.81%,65.34%,62.50%,58.33%,63.46%,93.75%
57,CoALM-8B,66.54%,66.54%,70.54%,65.91%,62.50%,54.17%,82.58%,87.50%
58,xLAM-2-8b-fc-r LoRA ckpt849-1batch-2560seq-3epoch-multi-all-nomlp,66.17%,66.17%,73.26%,64.86%,62.50%,50.00%,64.59%,87.50%
59,xLAM-2-8b-fc-r LoRA ckpt2075-1batch-2560seq-3epoch-IF,65.43%,65.43%,71.32%,64.39%,62.50%,50.00%,69.34%,87.50%
60,xLAM-2-8b-fc-r LoRA ckpt415-1batch-2560seq-3epoch-IF,65.43%,65.43%,73.26%,64.01%,62.50%,45.83%,60.63%,87.50%
61,xLAM-2-8b-fc-r LoRA ckpt3738-1batch-2560seq-3epoch-IF,64.91%,64.91%,70.16%,64.10%,62.50%,45.83%,69.23%,87.50%
62,xLAM-2-8b-fc-r LoRA ckpt2390-2batch-1024seq,64.54%,64.54%,69.77%,63.44%,56.25%,62.50%,56.11%,93.75%
63,xLAM-2-8b-fc-r LoRA ckpt4305-2batch-1024seq,64.47%,64.47%,69.77%,63.25%,56.25%,66.67%,53.28%,87.50%
64,xLAM-2-8b-fc-r LoRA ckpt478-2batch-1024seq,62.92%,62.92%,69.38%,61.25%,75.00%,58.33%,57.13%,93.75%
65,xLAM-2-8b-fc-r LoRA ckpt284-2batch-1024seq-apigen,62.77%,62.77%,70.16%,61.16%,62.50%,54.17%,65.16%,93.75%
66,xLAM-2-8b-fc-r LoRA ckpt5115-1batch-2048seq-apigen,61.81%,61.81%,58.91%,63.06%,56.25%,41.67%,68.33%,87.50%
67,xLAM-2-8b-fc-r LoRA ckpt2840-1batch-2048seq-apigen,61.29%,61.29%,57.36%,62.68%,56.25%,45.83%,67.53%,93.75%
68,Gemma-3-4b-it (Prompt),60.47%,60.47%,70.16%,59.16%,25.00%,37.50%,58.14%,100.00%
69,xLAM-2-8b-fc-r LoRA ckpt4785-1batch-2048seq,60.40%,60.40%,60.08%,60.40%,75.00%,54.17%,67.08%,93.75%
70,xLAM-2-8b-fc-r LoRA ckpt568-1batch-2048seq-apigen,60.33%,60.33%,63.18%,59.83%,68.75%,45.83%,64.48%,93.75%
71,xLAM-2-8b-fc-r LoRA ckpt2556-2batch-1024seq-apigen,60.33%,60.33%,57.36%,61.25%,56.25%,54.17%,67.31%,93.75%
72,xLAM-2-8b-fc-r LoRA ckpt1420-2batch-1024seq-apigen,60.25%,60.25%,53.88%,62.20%,50.00%,50.00%,61.76%,93.75%
73,xLAM-2-8b-fc-r LoRA ckpt8613-1batch-2048seq,59.44%,59.44%,54.65%,60.49%,75.00%,54.17%,62.78%,93.75%
74,xLAM-2-8b-fc-r LoRA ckpt957-1batch-2048seq,58.70%,58.70%,54.26%,59.73%,75.00%,50.00%,62.78%,93.75%
75,Llama-3.1-8B-Instruct (FC),48.56%,48.56%,51.94%,48.15%,31.25%,41.67%,8.37%,100.00%
76,Gemma-3-1b-it (Prompt),11.84%,11.84%,36.43%,6.27%,0.00%,0.00%,59.28%,37.50%
